iso_code,country,date,owid_weekly_deaths_2017
AUT,Austria,2020-01-05,2293.0
AUT,Austria,2020-01-12,2340.0
AUT,Austria,2020-01-19,2060.0
AUT,Austria,2020-01-26,1938.0
AUT,Austria,2020-02-02,2045.0
AUT,Austria,2020-02-09,1874.0
AUT,Austria,2020-02-16,1750.0
AUT,Austria,2020-02-23,1807.0
AUT,Austria,2020-03-01,1696.0
AUT,Austria,2020-03-08,1614.0
AUT,Austria,2020-03-15,1542.0
AUT,Austria,2020-03-22,1535.0
AUT,Austria,2020-03-29,1489.0
AUT,Austria,2020-04-05,1537.0
AUT,Austria,2020-04-12,1532.0
AUT,Austria,2020-04-19,1475.0
AUT,Austria,2020-04-26,1440.0
AUT,Austria,2020-05-03,1527.0
AUT,Austria,2020-05-10,1434.0
AUT,Austria,2020-05-17,1501.0
AUT,Austria,2020-05-24,1327.0
AUT,Austria,2020-05-31,1456.0
AUT,Austria,2020-06-07,1312.0
AUT,Austria,2020-06-14,1421.0
AUT,Austria,2020-06-21,1476.0
AUT,Austria,2020-06-28,1419.0
AUT,Austria,2020-07-05,1413.0
AUT,Austria,2020-07-12,1346.0
AUT,Austria,2020-07-19,1475.0
AUT,Austria,2020-07-26,1375.0
AUT,Austria,2020-08-02,1616.0
AUT,Austria,2020-08-09,1334.0
AUT,Austria,2020-08-16,1380.0
AUT,Austria,2020-08-23,1472.0
AUT,Austria,2020-08-30,1329.0
AUT,Austria,2020-09-06,1318.0
AUT,Austria,2020-09-13,1426.0
AUT,Austria,2020-09-20,1407.0
AUT,Austria,2020-09-27,1496.0
AUT,Austria,2020-10-04,1481.0
BEL,Belgium,2020-01-05,2557.0
BEL,Belgium,2020-01-12,2735.0
BEL,Belgium,2020-01-19,2645.0
BEL,Belgium,2020-01-26,2691.0
BEL,Belgium,2020-02-02,2950.0
BEL,Belgium,2020-02-09,2691.0
BEL,Belgium,2020-02-16,2631.0
BEL,Belgium,2020-02-23,2389.0
BEL,Belgium,2020-03-01,2315.0
BEL,Belgium,2020-03-08,2138.0
BEL,Belgium,2020-03-15,2036.0
BEL,Belgium,2020-03-22,2106.0
BEL,Belgium,2020-03-29,2068.0
BEL,Belgium,2020-04-05,1969.0
BEL,Belgium,2020-04-12,1954.0
BEL,Belgium,2020-04-19,1917.0
BEL,Belgium,2020-04-26,2079.0
BEL,Belgium,2020-05-03,2091.0
BEL,Belgium,2020-05-10,2009.0
BEL,Belgium,2020-05-17,2110.0
BEL,Belgium,2020-05-24,2009.0
BEL,Belgium,2020-05-31,1981.0
BEL,Belgium,2020-06-07,1815.0
BEL,Belgium,2020-06-14,1868.0
BEL,Belgium,2020-06-21,2101.0
BEL,Belgium,2020-06-28,1821.0
BEL,Belgium,2020-07-05,1901.0
BEL,Belgium,2020-07-12,1847.0
BEL,Belgium,2020-07-19,1827.0
BEL,Belgium,2020-07-26,1897.0
BEL,Belgium,2020-08-02,1808.0
BEL,Belgium,2020-08-09,1826.0
BEL,Belgium,2020-08-16,1784.0
BEL,Belgium,2020-08-23,1951.0
BEL,Belgium,2020-08-30,1924.0
BEL,Belgium,2020-09-06,1883.0
BEL,Belgium,2020-09-13,1823.0
BEL,Belgium,2020-09-20,1908.0
BGR,Bulgaria,2020-01-05,3169.0
BGR,Bulgaria,2020-01-12,3222.0
BGR,Bulgaria,2020-01-19,2814.0
BGR,Bulgaria,2020-01-26,2627.0
BGR,Bulgaria,2020-02-02,2525.0
BGR,Bulgaria,2020-02-09,2347.0
BGR,Bulgaria,2020-02-16,2352.0
BGR,Bulgaria,2020-02-23,2312.0
BGR,Bulgaria,2020-03-01,2138.0
BGR,Bulgaria,2020-03-08,2230.0
BGR,Bulgaria,2020-03-15,2117.0
BGR,Bulgaria,2020-03-22,2115.0
BGR,Bulgaria,2020-03-29,2098.0
BGR,Bulgaria,2020-04-05,2079.0
BGR,Bulgaria,2020-04-12,2025.0
BGR,Bulgaria,2020-04-19,2116.0
BGR,Bulgaria,2020-04-26,2036.0
BGR,Bulgaria,2020-05-03,1952.0
BGR,Bulgaria,2020-05-10,1983.0
BGR,Bulgaria,2020-05-17,1977.0
BGR,Bulgaria,2020-05-24,1981.0
BGR,Bulgaria,2020-05-31,2055.0
BGR,Bulgaria,2020-06-07,1958.0
BGR,Bulgaria,2020-06-14,1912.0
BGR,Bulgaria,2020-06-21,1957.0
BGR,Bulgaria,2020-06-28,2291.0
BGR,Bulgaria,2020-07-05,2008.0
BGR,Bulgaria,2020-07-12,1920.0
BGR,Bulgaria,2020-07-19,1795.0
BGR,Bulgaria,2020-07-26,1914.0
BGR,Bulgaria,2020-08-02,1943.0
BGR,Bulgaria,2020-08-09,2059.0
BGR,Bulgaria,2020-08-16,1769.0
BGR,Bulgaria,2020-08-23,1761.0
BGR,Bulgaria,2020-08-30,1804.0
BGR,Bulgaria,2020-09-06,1762.0
BGR,Bulgaria,2020-09-13,1942.0
BGR,Bulgaria,2020-09-20,1702.0
BGR,Bulgaria,2020-09-27,1702.0
CHE,Switzerland,2020-01-05,1678.0
CHE,Switzerland,2020-01-12,1731.0
CHE,Switzerland,2020-01-19,1746.0
CHE,Switzerland,2020-01-26,1657.0
CHE,Switzerland,2020-02-02,1564.0
CHE,Switzerland,2020-02-09,1592.0
CHE,Switzerland,2020-02-16,1402.0
CHE,Switzerland,2020-02-23,1383.0
CHE,Switzerland,2020-03-01,1395.0
CHE,Switzerland,2020-03-08,1348.0
CHE,Switzerland,2020-03-15,1262.0
CHE,Switzerland,2020-03-22,1239.0
CHE,Switzerland,2020-03-29,1183.0
CHE,Switzerland,2020-04-05,1234.0
CHE,Switzerland,2020-04-12,1201.0
CHE,Switzerland,2020-04-19,1181.0
CHE,Switzerland,2020-04-26,1223.0
CHE,Switzerland,2020-05-03,1210.0
CHE,Switzerland,2020-05-10,1204.0
CHE,Switzerland,2020-05-17,1207.0
CHE,Switzerland,2020-05-24,1186.0
CHE,Switzerland,2020-05-31,1126.0
CHE,Switzerland,2020-06-07,1108.0
CHE,Switzerland,2020-06-14,1120.0
CHE,Switzerland,2020-06-21,1196.0
CHE,Switzerland,2020-06-28,1166.0
CHE,Switzerland,2020-07-05,1158.0
CHE,Switzerland,2020-07-12,1087.0
CHE,Switzerland,2020-07-19,1151.0
CHE,Switzerland,2020-07-26,1121.0
CHE,Switzerland,2020-08-02,1200.0
CHE,Switzerland,2020-08-09,1099.0
CHE,Switzerland,2020-08-16,1128.0
CHE,Switzerland,2020-08-23,1207.0
CHE,Switzerland,2020-08-30,1164.0
CHE,Switzerland,2020-09-06,1153.0
CHE,Switzerland,2020-09-13,1190.0
CHL,Chile,2020-01-05,1878.0
CHL,Chile,2020-01-12,1868.0
CHL,Chile,2020-01-19,2034.0
CHL,Chile,2020-01-26,2082.0
CHL,Chile,2020-02-02,1891.0
CHL,Chile,2020-02-09,1788.0
CHL,Chile,2020-02-16,1813.0
CHL,Chile,2020-02-23,1969.0
CHL,Chile,2020-03-01,1730.0
CHL,Chile,2020-03-08,1739.0
CHL,Chile,2020-03-15,1754.0
CHL,Chile,2020-03-22,1770.0
CHL,Chile,2020-03-29,1800.0
CHL,Chile,2020-04-05,1895.0
CHL,Chile,2020-04-12,1949.0
CHL,Chile,2020-04-19,1847.0
CHL,Chile,2020-04-26,1970.0
CHL,Chile,2020-05-03,1964.0
CHL,Chile,2020-05-10,1921.0
CHL,Chile,2020-05-17,2025.0
CHL,Chile,2020-05-24,2210.0
CHL,Chile,2020-05-31,2334.0
CHL,Chile,2020-06-07,2376.0
CHL,Chile,2020-06-14,2640.0
CHL,Chile,2020-06-21,2639.0
CHL,Chile,2020-06-28,2525.0
CHL,Chile,2020-07-05,2387.0
CHL,Chile,2020-07-12,2308.0
