iso_code,country,date,yougov_perceived_global_improvement
ARE,United Arab Emirates,2020-05-11,49
ARE,United Arab Emirates,2020-05-18,45
ARE,United Arab Emirates,2020-05-25,44
ARE,United Arab Emirates,2020-06-01,53
ARE,United Arab Emirates,2020-06-08,61
ARE,United Arab Emirates,2020-06-15,62
ARE,United Arab Emirates,2020-06-22,68
ARE,United Arab Emirates,2020-06-29,55
ARE,United Arab Emirates,2020-07-27,61
AUS,Australia,2020-05-11,49
AUS,Australia,2020-05-18,46
AUS,Australia,2020-05-25,46
AUS,Australia,2020-06-01,44
AUS,Australia,2020-06-08,50
AUS,Australia,2020-06-15,47
AUS,Australia,2020-06-22,38
AUS,Australia,2020-06-29,28
AUS,Australia,2020-08-03,20
CAN,Canada,2020-05-12,50
CAN,Canada,2020-05-19,53
CAN,Canada,2020-05-26,48
CAN,Canada,2020-06-02,52
CAN,Canada,2020-06-09,58
CAN,Canada,2020-06-16,53
CAN,Canada,2020-06-23,42
CAN,Canada,2020-06-30,33
CAN,Canada,2020-08-03,23
CHN,China,2020-05-12,32
CHN,China,2020-05-19,36
CHN,China,2020-05-26,40
CHN,China,2020-06-02,39
CHN,China,2020-06-09,40
CHN,China,2020-06-16,35
CHN,China,2020-06-23,37
CHN,China,2020-06-30,37
CHN,China,2020-07-27,34
CHN,China,2020-08-03,33
DEU,Germany,2020-05-11,41
DEU,Germany,2020-05-19,44
DEU,Germany,2020-05-26,40
DEU,Germany,2020-06-02,48
DEU,Germany,2020-06-09,48
DEU,Germany,2020-06-16,43
DEU,Germany,2020-06-23,37
DEU,Germany,2020-06-30,30
DNK,Denmark,2020-05-11,58
DNK,Denmark,2020-05-15,61
DNK,Denmark,2020-05-22,60
DNK,Denmark,2020-05-29,60
DNK,Denmark,2020-06-04,62
DNK,Denmark,2020-06-11,57
DNK,Denmark,2020-06-18,50
DNK,Denmark,2020-06-25,34
DNK,Denmark,2020-07-23,20
ESP,Spain,2020-05-07,62
ESP,Spain,2020-05-14,55
ESP,Spain,2020-05-21,61
ESP,Spain,2020-05-28,61
ESP,Spain,2020-06-04,62
ESP,Spain,2020-06-11,60
ESP,Spain,2020-06-18,53
ESP,Spain,2020-06-25,32
ESP,Spain,2020-07-27,12
ESP,Spain,2020-08-03,15
FIN,Finland,2020-05-11,39
FIN,Finland,2020-05-15,36
FIN,Finland,2020-05-22,39
FIN,Finland,2020-05-29,45
FIN,Finland,2020-06-04,44
FIN,Finland,2020-06-11,46
FIN,Finland,2020-06-18,45
FIN,Finland,2020-06-25,27
FRA,France,2020-05-08,47
FRA,France,2020-05-15,42
FRA,France,2020-05-22,42
FRA,France,2020-05-29,55
FRA,France,2020-06-05,60
FRA,France,2020-06-12,51
FRA,France,2020-06-19,38
FRA,France,2020-06-26,24
FRA,France,2020-07-08,19
FRA,France,2020-07-15,14
FRA,France,2020-07-22,10
FRA,France,2020-07-29,12
GBR,United Kingdom,2020-05-08,54
GBR,United Kingdom,2020-05-15,45
GBR,United Kingdom,2020-05-22,46
GBR,United Kingdom,2020-05-29,54
GBR,United Kingdom,2020-06-05,55
GBR,United Kingdom,2020-06-12,56
GBR,United Kingdom,2020-06-19,50
GBR,United Kingdom,2020-06-26,36
GBR,United Kingdom,2020-07-31,21
HKG,Hong Kong SAR China,2020-05-12,46
HKG,Hong Kong SAR China,2020-05-19,55
HKG,Hong Kong SAR China,2020-05-26,55
HKG,Hong Kong SAR China,2020-06-02,57
HKG,Hong Kong SAR China,2020-06-09,56
HKG,Hong Kong SAR China,2020-06-16,54
HKG,Hong Kong SAR China,2020-06-23,48
HKG,Hong Kong SAR China,2020-06-30,41
HKG,Hong Kong SAR China,2020-07-13,22
HKG,Hong Kong SAR China,2020-07-21,17
HKG,Hong Kong SAR China,2020-07-27,14
HKG,Hong Kong SAR China,2020-08-03,17
IDN,Indonesia,2020-05-11,52
IDN,Indonesia,2020-05-18,52
IDN,Indonesia,2020-05-25,45
IDN,Indonesia,2020-06-01,53
IDN,Indonesia,2020-06-08,55
IDN,Indonesia,2020-06-15,52
IDN,Indonesia,2020-06-22,54
IDN,Indonesia,2020-06-29,52
IDN,Indonesia,2020-07-13,44
IDN,Indonesia,2020-07-21,45
IDN,Indonesia,2020-07-27,49
IDN,Indonesia,2020-08-03,46
IND,India,2020-05-11,34
IND,India,2020-05-18,35
IND,India,2020-05-25,35
IND,India,2020-06-01,33
IND,India,2020-06-08,38
IND,India,2020-06-15,39
IND,India,2020-06-22,36
IND,India,2020-06-29,34
IND,India,2020-07-27,36
IND,India,2020-08-03,40
ITA,Italy,2020-05-08,50
ITA,Italy,2020-05-15,49
ITA,Italy,2020-05-22,46
ITA,Italy,2020-05-29,49
ITA,Italy,2020-06-03,58
ITA,Italy,2020-06-10,49
ITA,Italy,2020-06-17,42
ITA,Italy,2020-06-24,37
ITA,Italy,2020-07-22,21
ITA,Italy,2020-07-29,18
MEX,Mexico,2020-05-12,62
MEX,Mexico,2020-05-19,62
MEX,Mexico,2020-05-26,59
MEX,Mexico,2020-06-02,58
MEX,Mexico,2020-06-09,61
MEX,Mexico,2020-06-16,60
MEX,Mexico,2020-06-23,53
MEX,Mexico,2020-06-30,53
MYS,Malaysia,2020-05-11,41
MYS,Malaysia,2020-05-18,39
MYS,Malaysia,2020-05-25,44
MYS,Malaysia,2020-06-01,41
MYS,Malaysia,2020-06-08,49
MYS,Malaysia,2020-06-16,55
MYS,Malaysia,2020-06-22,53
MYS,Malaysia,2020-06-29,51
MYS,Malaysia,2020-07-13,43
MYS,Malaysia,2020-07-21,38
MYS,Malaysia,2020-07-27,25
MYS,Malaysia,2020-08-03,30
NOR,Norway,2020-05-11,42
NOR,Norway,2020-05-15,42
NOR,Norway,2020-05-22,45
NOR,Norway,2020-05-29,47
NOR,Norway,2020-06-05,47
NOR,Norway,2020-06-12,46
NOR,Norway,2020-06-19,44
NOR,Norway,2020-06-26,35
PHL,Philippines,2020-05-11,36
PHL,Philippines,2020-05-18,39
PHL,Philippines,2020-05-25,33
PHL,Philippines,2020-06-01,35
PHL,Philippines,2020-06-08,40
PHL,Philippines,2020-06-15,36
PHL,Philippines,2020-06-22,35
PHL,Philippines,2020-06-29,33
PHL,Philippines,2020-07-13,29
PHL,Philippines,2020-07-21,36
PHL,Philippines,2020-07-27,31
PHL,Philippines,2020-08-03,35
POL,Poland,2020-05-12,51
POL,Poland,2020-05-19,59
POL,Poland,2020-05-26,53
POL,Poland,2020-06-02,55
POL,Poland,2020-06-09,53
POL,Poland,2020-06-16,53
POL,Poland,2020-06-23,45
POL,Poland,2020-06-30,40
SAU,Saudi Arabia,2020-05-11,55
SAU,Saudi Arabia,2020-05-18,52
SAU,Saudi Arabia,2020-05-25,63
SAU,Saudi Arabia,2020-06-01,69
SAU,Saudi Arabia,2020-06-08,59
SAU,Saudi Arabia,2020-06-15,49
SAU,Saudi Arabia,2020-06-22,54
SAU,Saudi Arabia,2020-06-29,61
SAU,Saudi Arabia,2020-07-27,71
SGP,Singapore,2020-05-08,42
SGP,Singapore,2020-05-15,47
SGP,Singapore,2020-05-22,50
SGP,Singapore,2020-05-29,46
SGP,Singapore,2020-06-05,49
SGP,Singapore,2020-06-12,49
SGP,Singapore,2020-06-19,44
SGP,Singapore,2020-06-26,37
SGP,Singapore,2020-07-10,26
SGP,Singapore,2020-07-20,20
SGP,Singapore,2020-07-27,20
SGP,Singapore,2020-08-03,22
SWE,Sweden,2020-05-11,36
SWE,Sweden,2020-05-15,36
SWE,Sweden,2020-05-22,44
SWE,Sweden,2020-05-29,43
SWE,Sweden,2020-06-05,43
SWE,Sweden,2020-06-12,42
SWE,Sweden,2020-06-19,36
SWE,Sweden,2020-06-26,28
SWE,Sweden,2020-08-03,18
THA,Thailand,2020-05-11,59
THA,Thailand,2020-05-18,62
THA,Thailand,2020-05-25,60
THA,Thailand,2020-06-01,56
THA,Thailand,2020-06-08,60
THA,Thailand,2020-06-15,62
THA,Thailand,2020-06-22,60
THA,Thailand,2020-06-29,56
THA,Thailand,2020-07-13,48
THA,Thailand,2020-07-21,32
THA,Thailand,2020-07-27,39
THA,Thailand,2020-08-03,37
TWN,Taiwan,2020-05-12,49
TWN,Taiwan,2020-05-19,56
TWN,Taiwan,2020-05-26,57
TWN,Taiwan,2020-06-02,59
TWN,Taiwan,2020-06-09,60
TWN,Taiwan,2020-06-16,53
TWN,Taiwan,2020-06-23,44
TWN,Taiwan,2020-06-30,35
TWN,Taiwan,2020-07-13,29
TWN,Taiwan,2020-07-20,30
TWN,Taiwan,2020-07-27,25
TWN,Taiwan,2020-08-03,25
USA,United States,2020-05-12,52
USA,United States,2020-05-19,49
USA,United States,2020-05-26,50
USA,United States,2020-06-02,49
USA,United States,2020-06-09,54
USA,United States,2020-06-16,46
USA,United States,2020-06-23,44
USA,United States,2020-06-30,44
USA,United States,2020-08-03,40
VNM,Vietnam,2020-05-12,55
VNM,Vietnam,2020-05-19,62
VNM,Vietnam,2020-05-26,63
VNM,Vietnam,2020-06-02,65
VNM,Vietnam,2020-06-09,67
VNM,Vietnam,2020-06-16,63
VNM,Vietnam,2020-06-23,50
VNM,Vietnam,2020-06-30,41
VNM,Vietnam,2020-07-13,36
VNM,Vietnam,2020-07-21,36
VNM,Vietnam,2020-07-27,35
VNM,Vietnam,2020-08-03,23
