iso_code,country,date,owid_total_cases_per_million
AFG,Afghanistan,2020-02-24,0.026
AFG,Afghanistan,2020-02-25,0.026
AFG,Afghanistan,2020-02-26,0.026
AFG,Afghanistan,2020-02-27,0.026
AFG,Afghanistan,2020-02-28,0.026
AFG,Afghanistan,2020-02-29,0.026
AFG,Afghanistan,2020-03-01,0.026
AFG,Afghanistan,2020-03-02,0.026
AFG,Afghanistan,2020-03-03,0.051
AFG,Afghanistan,2020-03-04,0.103
AFG,Afghanistan,2020-03-05,0.103
AFG,Afghanistan,2020-03-06,0.103
AFG,Afghanistan,2020-03-07,0.103
AFG,Afghanistan,2020-03-08,0.128
AFG,Afghanistan,2020-03-09,0.18
AFG,Afghanistan,2020-03-10,0.206
AFG,Afghanistan,2020-03-11,0.283
AFG,Afghanistan,2020-03-12,0.308
AFG,Afghanistan,2020-03-13,0.334
AFG,Afghanistan,2020-03-14,0.385
AFG,Afghanistan,2020-03-15,0.411
AFG,Afghanistan,2020-03-16,0.462
AFG,Afghanistan,2020-03-17,0.514
AFG,Afghanistan,2020-03-18,0.617
AFG,Afghanistan,2020-03-19,0.642
AFG,Afghanistan,2020-03-20,0.745
AFG,Afghanistan,2020-03-21,0.771
AFG,Afghanistan,2020-03-22,0.873
AFG,Afghanistan,2020-03-23,1.053
AFG,Afghanistan,2020-03-24,1.105
AFG,Afghanistan,2020-03-25,1.952
AFG,Afghanistan,2020-03-26,2.055
AFG,Afghanistan,2020-03-27,2.338
AFG,Afghanistan,2020-03-28,2.749
AFG,Afghanistan,2020-03-29,3.031
AFG,Afghanistan,2020-03-30,3.75
AFG,Afghanistan,2020-03-31,4.495
AFG,Afghanistan,2020-04-01,5.061
AFG,Afghanistan,2020-04-02,6.165
AFG,Afghanistan,2020-04-03,7.064
AFG,Afghanistan,2020-04-04,7.706
AFG,Afghanistan,2020-04-05,8.683
AFG,Afghanistan,2020-04-06,9.453
AFG,Afghanistan,2020-04-07,10.892
